Date,Open,High,Low,Close,Volume,Market_close
1/6/2016,741,743.4,731.8,734.3,485076,26725.6
31-05-2016,756,756,736.3,739.9,8764,26653.6
30-05-2016,760,763.9,746,747.25,91394,26366.68
27-05-2016,746,758.2,744.05,754.65,104462,25881.17
26-05-2016,750,750,738,740.65,55711,25305.47
25-05-2016,740,750.45,740,749,84359,25230.36
24-05-2016,734,740.5,731.5,737.55,50395,25301.9
23-05-2016,742.4,742.4,731.1,733.4,78640,25399.72
20-05-2016,738,739.2,730,735.15,587604,25704.61
19-05-2016,742.25,744.05,725.55,728.5,80703,25773.61
18-05-2016,733.6,744.5,727,742.25,163925,25653.23
17-05-2016,721.7,738.9,720.3,731.9,2826330,25489.57
16-05-2016,723,726,716.85,720.4,111559,25790.22
13-05-2016,719.8,726.9,713.1,722.25,287720,25597.02
12/5/2016,711,718.9,710.4,715.95,123189,25772.53
11/5/2016,710,717.15,706.5,708.75,372562,25688.86
10/5/2016,728.5,728.5,717.1,720,194342,25228.5
9/5/2016,727,732.75,720,722.9,175964,25262.21
6/5/2016,734,734,722.25,724.6,142743,25101.73
5/5/2016,742.95,742.95,726,733.5,114493,25229.7
4/5/2016,729,740.95,727.9,736.75,150784,25436.97
3/5/2016,740.25,747.95,727,729.3,193542,25606.62
2/5/2016,752,755.8,740.1,742.95,179320,25603.1
29-04-2016,795,795,748.2,750.45,854054,26064.12
28-04-2016,805,821.9,795.75,799.95,680107,26007.3
27-04-2016,849.5,856,831.4,837.7,104835,25678.93
26-04-2016,840,854.7,833.5,850.1,35300,25838.14
25-04-2016,844.95,849.5,843,845,17990,25880.38
22-04-2016,840,852.85,840,844.95,308330,25844.18
21-04-2016,841,855,839,845.85,66968,25816.36
20-04-2016,860,860,835.7,841.25,41947,25626.75
18-04-2016,846,860,845.05,853.4,83610,25145.59
13-04-2016,844,846,836,837.9,28327,25022.16
12/4/2016,845,845.05,831.5,838.85,40495,24673.84
11/4/2016,837,841.4,825,839.15,48351,24685.42
8/4/2016,833,836.95,827.05,831.7,21888,24900.63
7/4/2016,849.9,849.9,826.55,828.65,46160,24883.59
6/4/2016,849.85,849.85,826.5,840.2,267258,25399.65
5/4/2016,844.65,848.55,832.55,843.7,132969,25269.64
4/4/2016,821,842,815.5,839.8,177395,25341.86
1/4/2016,828.9,828.9,807.5,820.7,79766,25490.22
31-03-2016,819.5,824.8,811.05,814.15,107227,25597.02
